Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
"E. Monte Motion, Inc.","481 8th Avenue, Ste. 543",New York,NY,10001,(212) 868-4488,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"ENSEMBLE MISE-EN, Inc.",24 Waverly Place  Rm 268,New York,NY,10003,(217) 721-8936,Music,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"EarSay, Inc.",P.O. Box 4338,Sunnyside,NY,11104,(718) 784-4066,"Multi-Discipl, Perf & Non-Perf",Queens Council District #26,Queens Community Board #2,Queens
"Early Music Foundation, Inc.",10 West 68th Street,New York,NY,10023,(212) 749-6600,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Early Stages Program, Inc.","27 West 20th Street, Ste. 706",New York,NY,10011,(917) 842-2572,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"East Flatbush Village, Inc.",461 East 46th Street,Brooklyn,NY,11203,(718) 826-0807,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #45,Brooklyn Community Board #17,Brooklyn
East Harlem Arts & Education Local Development Corporation,1 East 104th Street,New York,NY,10029,(212) 427-2244,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"East New York United Concerned Citizens, Inc.",P.O. Box 70711,Brooklyn,NY,11207,(347) 240-3049,"Multi-Discipline, Performing",Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn
"East River Ensemble, Inc.","58 Grand Street, 1st Floor",Brooklyn,NY,11211,(718) 387-5179,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"East Winds, Inc.","55 Park Terrace East, Apt. B63",New York,NY,10034,(646) 418-8808,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Edge Theater Company, Inc.","880 Third Avenue, 16th floor",New York,NY,10022,(212) 350-7244,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
"Education Through Music, Inc.","122 East 42nd Street, Ste. 1501",New York,NY,10168,(212) 972-4788,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan
"Educational Alliance, Inc.",197 East Broadway,New York,NY,10002,(212) 780-2300 x324,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Educational Broadcasting Corporation,450 West 33rd Street,New York,NY,10001,(212) 560-1321,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Educational Theater of New York, Inc.",309 East 26th Street,New York,NY,10010,(646) 733-7685,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
"Educational Video Center, Inc.",16 Clarkson Street,New York,NY,10014-4301,(212) 465-9366,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Either/Or, Inc.",321 East 43rd Street,New York,NY,10017,(646) 331-5895,Music,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
El Mundo del Flamenco NY Center for Flamenco,Dance New Amsterdam,New York,NY,10007,(917) 667-2695,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"El Puente De Williamsburg, Inc.",211 South 4th Street,Brooklyn,NY,11211,(718) 387-0404,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
El Taller Latino Americano,P.O. Box 1261,New York,NY,10025,(212) 665-9460,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #7,Manhattan
Elaine Kaufman Cultural Center/Lucy Moses School for Music and Dance,129 West 67th Street,New York,NY,10023,(212) 501-3313,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Elastic City Performing Arts, Inc.",50 Lefferts Ave #3b,Brooklyn,NY,11225,(347) 829-7779,"Multi-Discipline, Performing",Brooklyn Council District #40,Brooklyn Community Board #9,Brooklyn
"Elder Craftsmen, Inc.","307 Seventh Avenue, Ste. 1401",New York,NY,10001,(212) 319-8128 x10,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Elders Share the Arts,138 South Oxford Street,Brooklyn,NY,11217,(718) 398-3870 x105,"Multi-Discipline, Non-Perform",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Electric Lit, Inc.",1140 Broadway,New York,NY,10001,(610) 999-3779,Literature,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
Electronic Arts Intermix,"535 West 22nd Street, Fifth Floor",New York,NY,10011,(212) 337-0680 x14,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Electronic Music Foundation, Inc.",307 Seventh Ave Room 1402,New York,NY,10001,(518) 434-4110,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Elevator Repair Service Theater, Inc.",47 Great Jones Street,New York,NY,10012,(718) 783-1905,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Elizabeth Foundation for the Arts,"323 West 39th Street, 11th Floor",New York,NY,10018,(212) 563-5855,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Ellen Beckerman & Company, Inc.","64 Fulton Street, Ste. 403",New York,NY,10038,(212) 346-0020,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Elmcor Youth & Adult Activities, Inc.",33-16 108 Street,Corona,NY,11368,(718) 651-0096,Music,Queens Council District #21,Queens Community Board #3,Queens
Emerald Isle Immigration Center,59-26 Woodside Ave,Woodside,NY,11377,(718) 478-5502,"Multi-Discipline, Non-Perform",Queens Council District #26,Queens Community Board #1,Queens
Emerging Artists Theatre Company,"15 West 28th Street, Third Floor",New York,NY,10001,(212) 247-2429,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Emmanuel Baptist Church in Brooklyn,279 Lafayette Avenue,Brooklyn,NY,11238,(718) 622-1107,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"En Garde Arts, Inc.","27 West 86th Street, #2A","New York, NY",NY,10023,(323) 528-6434,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Enact, Inc.","630 Ninth Avenue, Ste. 301",New York,NY,10036,(212) 741-6591 x12,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Encompass Theatre Company, Inc.","138 South Oxford Street, Suite 1A",Brooklyn,NY,11217,(718) 398-4675,Music,,Manhattan Community Board #2,Manhattan
English-Speaking Union of the U.S.,144 East 39th Street,New York,NY,10016,(212) 818-1200 x218,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Queens Community Board #6,Manhattan
"Enrichment Through the Arts, Inc.",11 Borman Avenue,Staten Island,NY,10314,(718) 982-5678,Theater,Staten Island Council Dist #50,Staten Island Community Brd #2,Staten Island
"Ensemble 212, Inc.",301 W 45th St,New York,NY,10036,(646) 266-9632,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Ensemble Studio Theatre, Inc.","549 West 52nd Street, 2nd Floor",New York,NY,10019,(212) 247-4982 x15,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Ensemble for the Romantic Century,"24 East 82nd Street, Apt. 3C",New York,NY,10028,(212) 288-8020,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Epic Theatre Center, Inc.",P.O. Box 720,New York,NY,10024,(212) 239-1770,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Epiphany Magazine, Inc.",71 Bedford St.,New York,NY,10014,(646) 221-8834,Literature,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Epiphany Theater Company, Inc.","154 Christopher Street, Ste. 2B",New York,NY,10014,(646) 638-0252,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Episcopal Actors' Guild of America, Inc.",1 East 29th Street,New York,NY,10016,(212) 685-2927,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Manhattan Community Board #5,Manhattan
"Equus Projects, Inc.",121 West 17th St. Apt. 4B,New York,NY,10011,(212) 924-1336,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Errol Grimes Dance Group,50 Taaffe Place,Brooklyn,NY,11205,(718) 596-0560,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Esopus Foundation, Ltd.",41 Schermerhorn St #143,Brooklyn,NY,11201,(212) 473-0919,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Esperanza del Barrio, Inc.",2290 Second Avenue,New York,NY,10035,(212) 289-9025,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
Ethel's Foundation for the Arts,"132 East 43rd Street, #213",New York,NY,10017,(914) 674-0638,Music,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
"Ether Sea Projects, Inc.",925 Bergen Street,New York,NY,11238,(718) 288-5530,Literature,Brooklyn Council District #35,Brooklyn Community Board #8,Brooklyn
"Eugenio Maria de Hostos Community College Foundation, Inc.",450 Grand Concourse,Bronx,NY,10451,(718) 518-4300,"Multi-Discipline, Performing",Bronx Council District #17,Bronx Community Board #1,Bronx
"Eva Dean Dance Company, Inc.","725 Union Street, Ste. B",Brooklyn,NY,11215,(718) 857-8368,Dance,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
Evangelical Lutheran Church of the Advent,2504 Broadway,New York,NY,10025,(212) 665-2504,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Every Voice Choirs,P.O. Box 250646,New York,NY,10025,(347) 419-2178,Music,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Evidence, Inc.","80 Hanson Place, Ste. 605",Brooklyn,NY,11217,(718) 230-4633,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Ex.Pgirl, Inc.",366 13th Street,Brooklyn,NY,11215,(212) 647-0202,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Exit Art/The First World, Inc.","475 Tenth Avenue, 1st Floor",New York,NY,10018,(212) 966-7745 x11,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Experiments in Opera,205 23rd Street,New York,NY,11232,(917) 576-1314,"Multi-Discipline, Performing",Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
Exploring the Arts,28 West 44th Street,New York,NY,10036,(646) 457-4935,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Manhattan Community Board #5,Brooklyn
"Exploring the Metropolis, Inc.","205 Lexington Avenue, 17th Floor",New York,NY,10016-6022,(212) 650-0211,"Multi-Discipline, Performing",Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Extreme Kids and Crew, Inc.",71 Sullivan Street,Brooklyn,NY,11231,(347) 410-6050,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
"Eyebeam Atelier, Inc.",540 West 21st Street,New York,NY,10011,(212) 937-6580 x33,New Media,,,Manhattan
FCBC Community Development Corporation,1912 Adam Clayton Powell Jr. Blvd.,New York,NY,10026,(212) 678-7030,Theater,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"FRIGID New York, Inc.",85 East 4th Street,New York,NY,10003,(917) 270-0608,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Falconworks Artists Group,P.O. Box 310283,Brooklyn,NY,11231,(718) 395-3218,Theater,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
"Fantastic Experimental Latino Theater, Inc.","107 Suffolk Street, Ste. 311",New York,NY,10002,(212) 228-3705,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Fashion Center District Management Association, Inc.","209 West 38th Street, Second Floor",New York,NY,10018,(212) 764-9600,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Federation Employment & Guidance Service, Inc.",315 Hudson Street,New York,NY,10013,(212) 366-8032,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Federation of Italian American Organizations of Brooklyn, LTD.",7403 18th Avenue,New York,NY,11204,(718) 259-2828,Other,Brooklyn Council District #47,Brooklyn Community Board #11,Brooklyn
Feed Your Mind Music,147 Prince Street,New York,NY,11201,(347) 796-1113,Music,Brooklyn Council District #40,Brooklyn Community Board #9,Brooklyn
"Feminist Press, Inc.","365 Fifth Avenue, Ste. 5406",New York,NY,10016,(212) 817-7929,Literature,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Festival of New Trumpet Music, Inc.",PO BOX 769,New York,NY,10025,(718) 496-5132,Music,Manhattan Council District #8,Manhattan Community Board #7,Manhattan
"Festival of North American Orchestras, Inc.",470 Park Avenue South,New York,NY,10016,(212) 683-6060,Music,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
Fiasco Theater LTD,80 Madison Ave,New York,NY,10016,(646) 845-9073,Theater,Manhattan Council District #3,Manhattan Community Board #6,Manhattan
"Fiction, Inc.","Dept of Engl NAC 6th Floor, City College of New York",NYC,NY,10031,(212) 966-3659,Literature,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Figment Project, Inc.","111 East 14th Street, #369",New York,NY,10003,(212) 333-2203,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Figure Skating in Harlem,"361 West 125th Street, 4th Floor",New York,NY,10027,(646) 698-3440,Other,Manhattan Council District #7,Manhattan Community Board #10,Manhattan
Fiji Theatre Company,"47 Great Jones Street, Sixth Floor",New York,NY,10012,(212) 529-1557 x202,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Film Biz Recycling,540 President Street,Brooklyn,NY,11215,(347) 384-2336,"Multi-Discipline, Non-Perform",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"Film Forum, Inc.",209 West Houston Street,New York,NY,10014,(212) 627-2035 x303,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
Film Society of Lincoln Center,165 West 65th Street,New York,NY,10023,(212) 875-5618,Film/Video/Audio,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Finland Center Foundation,47 Fifth Avenue,New York,NY,10003,(646) 704-8000,Music,Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"Firelight Media, Inc.",324 Convent Avenue,New York,NY,10031,(212) 234-1324,Film/Video/Audio,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Fist and Heel Performance Group, Inc.","476 Dean Street, Ste. 2",Brooklyn,NY,11217,(718) 270-6979,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Five Boroughs Music Festival, Inc.",759 President St.,New York,NY,11215,(917) 882-5394,Music,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"Five Myles, Inc.",133 Wooster Street,New York,NY,10012,(718) 783-4438,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #8,Brooklyn
"Flamenco Latino, Inc.",84-12 35th Avenue,Jackson Heights,NY,11372,(212) 399-8519,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Flea Theater, Inc.",41 White Street,New York,NY,10013,(212) 226-0051 x104,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Fleadh Foundation,c/o 13 Designs Studio,Brooklyn,NY,11201,(917) 805-3100,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
"Fluid Motion Theater & Film, Inc.","109 West 27th Street, Ste. 9A",New York,NY,10001,(917) 459-8181,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Flushing Council on Culture and the Arts,137-35 Northern Boulevard,Flushing,NY,11354,(718) 463-7700,"Multi-Discipl, Perf & Non-Perf",Queens Council District #20,Queens Community Board #7,Queens
Flux Factory,39-31 29th Street,Queens,NY,11101,(718) 707-3362,Visual Arts,Queens Council District #26,Queens Community Board #1,Brooklyn
"Flying Carpet Theater, Inc.",43-38 47th Street,Sunnyside,NY,11104,(917) 721-7567,Theater,Queens Council District #26,Queens Community Board #2,Queens
"Flying Fig Theater, Inc.","161 Sixth Avenue, 14th Floor",New York,NY,10013,(212) 691-6969 x13,Theater,,Manhattan Community Board #2,Manhattan
"Focal Point Press, Ltd.",321 City Island Avenue,Bronx,NY,10464,(718) 885-1403,Visual Arts,Bronx Council District #12,Bronx Community Board #10,Bronx
Folksbiene Yiddish Theatre,36 Battery Place,New York,NY,10280,(212) 213-2120,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Fordham Road District Management Association, Inc.","2530 Grand Concourse, Suite 803",Bronx,NY,10458,(718) 562-2104,"Multi-Discipline, Non-Perform",Bronx Council District #15,Bronx Community Board #5,Bronx
Forest Hills Symphony Orchestra,160-08 25th Drive,Flushing,NY,11358,(718) 544-7692,Music,Queens Council District #22,Queens Community Board #6,Queens
